label,parliamentary_group,GND_Kennung,Wikidata_ID
Hans-Peter Uhl,CDU,NA,NA
Volker Beck,GRUENE,NA,NA
Dagmar Ziegler,SPD,NA,NA
Gisela Piltz,FDP,NA,NA
Sabine Leutheusser-Schnarrenberger,NA,NA,NA
Burkhard Lischka,SPD,NA,NA
Andrea Astrid Voßhoff,CDU,NA,NA
Jerzy Montag,GRUENE,NA,NA
Stephan Thomae,FDP,NA,NA
Edgar Franke,SPD,NA,NA
Thomas Silberhorn,CDU,NA,NA
Ingrid Hönlinger,GRUENE,NA,NA
Patrick Ernst Sensburg,CDU,NA,NA
Eva Högl,SPD,NA,NA
Norbert Röttgen,NA,NA,NA
Matthias Miersch,SPD,NA,NA
Dorothea Steiner,GRUENE,NA,NA
Bärbel Kofler,SPD,NA,NA
Michael Kauch,FDP,NA,NA
Georg Nüßlein,CDU,NA,NA
Ulrich Kelber,SPD,NA,NA
Bernhard Schulte-Drüggelte,CDU,NA,NA
Alexander Dobrindt,NA,NA,NA
Roland Claus,LINKE,NA,NA
Martin Dörmann,SPD,NA,NA
Sören Bartol,SPD,NA,NA
Sven-Christian Kindler,GRUENE,NA,NA
Arnold Vaatz,CDU,NA,NA
Sabine Leidig,LINKE,NA,NA
Valerie Wilms,GRUENE,NA,NA
Reinhold Sendker,CDU,NA,NA
Norbert Brackmann,CDU,NA,NA
Udo Schiefner,SPD,NA,NA
Marie-Luise Dött,CDU,NA,NA
Peter Meiwald,GRUENE,NA,NA
Steffen-Claudio Lemme,SPD,NA,NA
Christian Hirte,CDU,NA,NA
Josef Rief,CDU,NA,NA
Peter Hintze,NA,NA,NA
André Berghegger,CDU,NA,NA
Johannes Kahrs,SPD,NA,NA
Petra Hinz,SPD,NA,NA
Max Straubinger,CDU,NA,NA
Dr. Wolfgang Weng,FDP,NA,NA
Dr. Sigrid Skarpelis-Sperk,SPD,NA,NA
Peter Dreßen,SPD,NA,NA
Ina Albowitz,FDP,NA,NA
Dr. Otto Graf Lambsdorff,FDP,NA,NA
Kurt J. Rossmanith,CDU,NA,NA
Ernst Hinsken,CDU,NA,NA
Dr. Erich Riedl,CDU,NA,NA
Dr. Uwe Küster,SPD,NA,NA
Dr. Guido Westerwelle,FDP,NA,NA
Dr. Dagmar Enkelmann,PDS,NA,NA
Wolfgang Zöller,CDU,NA,NA
Walter Hirche,FDP,NA,NA
Eduard Oswald,CDU,NA,NA
Abg . Dr. Otto Graf Lambsdorff,FDP,NA,NA
Dr. Peter Struck,SPD,NA,NA
Hans Büttner,SPD,NA,NA
Herbert Lattmann,CDU,NA,NA
Zuruf des Abg . Detlev von Larcher,SPD,NA,NA
Detlev von Larcher,SPD,NA,NA
Konrad Gilges,SPD,NA,NA
Dr. Gisela Babel,FDP,NA,NA
Ulla Schmidt,SPD,NA,NA
Abg . Ulrike Mascher,SPD,NA,NA
Julius Louven,CDU,NA,NA
Hans-Peter Kemper,SPD,NA,NA
Siegfried Hornung,CDU,NA,NA
Dr. Barbara Höll,PDS,NA,NA
PeterDreßen,SPD,NA,NA
Abg . Dr. Barbara Höll,PDS,NA,NA
Peter Conradi,SPD,NA,NA
Zuruf des Abg . Hans Büttner,SPD,NA,NA
Uwe Lühr,FDP,NA,NA
Helmut Wieczorek,SPD,NA,NA
Dr. Barbara Hendricks,SPD,NA,NA
Jochen Feilcke,CDU,NA,NA
Wolf-Michael Catenhusen,SPD,NA,NA
Tilo Braune,SPD,NA,NA
Horst Kubatschka,SPD,NA,NA
Dr. Karlheinz Guttmacher,FDP,NA,NA
Christian Lenzer,CDU,NA,NA
Carl-Detlev Freiherr von Hammerstein,CDU,NA,NA
Gegenruf der Abg . Edelgard Bulmahn,SPD,NA,NA
Dr. Gerhard Friedrich,CDU,NA,NA
Dr. Edith Niehuis,SPD,NA,NA
Ulrich Heinrich,FDP,NA,NA
Wilhelm Schmidt,SPD,NA,NA
Wolfgang Dehnel,CDU,NA,NA
Dr. Wolfgang Wodarg,SPD,NA,NA
Dr. Irmgard Schwaetzer,FDP,NA,NA
Zuruf des Abg . Wolfgang Zöller,CDU,NA,NA
Horst Schmidbauer,SPD,NA,NA
Dr. Dieter Thomae,FDP,NA,NA
Wolfgang Lohmann,CDU,NA,NA
Meinolf Michels,CDU,NA,NA
Abg . Otto Schily,SPD,NA,NA
Peter Harry Carstensen,CDU,NA,NA
Dr. Peter Ramsauer,CDU,NA,NA
Friedrich Merz,CDU,NA,NA
Dr. Wolfgang Bötsch,CDU,NA,NA
Dr. Gregor Gysi,PDS,NA,NA
Lothar Mark,SPD,NA,NA
Anke Fuchs Köln ),SPD,NA,NA
Christoph Matschie,SPD,NA,NA
Dr. Peter Ramsauer,SPD,NA,NA
Klaus Hagemann,SPD,NA,NA
Dr. Wolfgang Gerhardt,FDP,NA,NA
Dirk Niebel,FDP,NA,NA
Dr. Angela Merkel,CDU,NA,NA
Zuruf des Abg . Dr. Theodor Waigel,CDU,NA,NA
Iris Gleicke,SPD,NA,NA
Peter Rauen,CDU,NA,NA
Heinz Seiffert,CDU,NA,NA
Joachim Poß,CDU,NA,NA
Elke Wülfing,CDU,NA,NA
Dr. Ilja Seifert,PDS,NA,NA
Dr. Karlheinz Guttmacher,CDU,NA,NA
Katrin Göring-Eckardt,SPD,NA,NA
Hubertus Heil,SPD,NA,NA
Zuruf der Abg . Waltraud Lehn,SPD,NA,NA
Eckart von Klaeden,CDU,NA,NA
Birgit Homburger,FDP,NA,NA
Hartwig Fischer,CDU,NA,NA
Gegenruf der Abg . Dr. Angela Merkel,CDU,NA,NA
Petra-Evelyne Merkel,SPD,NA,NA
Dietrich Austermann,FDP,NA,NA
Dr. Wolfgang Schäuble,CDU,NA,NA
Dr. Wolfgang Gerhardt,CDU,NA,NA
Brigitte Schulte,SPD,NA,NA
Karl-Josef Laumann,SPD,NA,NA
Matthias Wissmann,CDU,NA,NA
Dr. Friedbert Pflüger,CDU,NA,NA
Zuruf des Abg . Dr. Wolfgang Gerhardt,FDP,NA,NA
Dr. Gerd Müller,CDU,NA,NA
Monika Griefahn,SPD,NA,NA
Lothar Mark,CDU,NA,NA
Dr. Gerd Müller,SPD,NA,NA
Dr. Werner Hoyer,FDP,NA,NA
Dr. Wolfgang Gerhardt,SPD,NA,NA
Dr. Gerd Müller,FDP,NA,NA
Peter Hintze,CDU,NA,NA
Jörg van Essen,FDP,NA,NA
Johannes Kahrs,CDU,NA,NA
Zuruf des Abg . Johannes Kahrs,SPD,NA,NA
Carl-Ludwig Thiele,FDP,NA,NA
Dr. Christian Ruck,CDU,NA,NA
Dr. Christian Ruck,FDP,NA,NA
Ingbert Liebing,CDU,NA,NA
Josef Göppel,CDU,NA,NA
Franz Obermeier,CDU,NA,NA
Bärbel Höhn,CDU,NA,NA
Dr. Michael Fuchs,CDU,NA,NA
Andreas G. Lämmel,CDU,NA,NA
Zuruf des Abg . Laurenz Meyer,CDU,NA,NA
Paul Lehrieder,CDU,NA,NA
Ingrid Arndt-Brauer,SPD,NA,NA
Peer Steinbrück,SPD,NA,NA
Alexander Ulrich,SPD,NA,NA
Dr. Frank-Walter Steinmeier,SPD,NA,NA
Ingrid Fischbach,CDU,NA,NA
Dr. Volker Wissing,FDP,NA,NA
Klaus Brandner,SPD,NA,NA
Dr. Martin Lindner,FDP,NA,NA
Andreas Mattfeldt,CDU,NA,NA
Bettina Hagedorn,SPD,NA,NA
Georg Schirmbeck,CDU,NA,NA
Florian Toncar,FDP,NA,NA
Christian Lindner,FDP,NA,NA
Bernd Scheelen,SPD,NA,NA
Stefan Müller,CDU,NA,NA
Zuruf der Abg . Bettina Hagedorn,SPD,NA,NA
Dr. Günter Krings,CDU,NA,NA
Hartfrid Wolff,FDP,NA,NA
Zuruf der Abg . Gisela Piltz,FDP,NA,NA
Jan Korte,FDP,NA,NA
Patrick Döring,FDP,NA,NA
Dr. Hans-Peter Uhl,CDU,NA,NA
Reinhard Grindel,CDU,NA,NA
Dr. Patrick Sensburg,CDU,NA,NA
Christian Lange,SPD,NA,NA
Mechthild Dyckmans,FDP,NA,NA
Dr. Jan-Marco Luczak,CDU,NA,NA
Marco Buschmann,FDP,NA,NA
Dr. Maria Flachsbarth,CDU,NA,NA
Dorothea Steiner,SPD,NA,NA
Dr. Matthias Miersch,SPD,NA,NA
Ulli Nissen,SPD,NA,NA
Eckhardt Rehberg,CDU,NA,NA
Ulrich Lange,CDU,NA,NA
Axel Schäfer Bochum ),SPD,NA,NA
Gustav Herzog,SPD,NA,NA
Michael Grosse-Brömer,CDU,NA,NA
Hans-Werner Kammer,CDU,NA,NA
Thomas Jarzombek,CDU,NA,NA
Zuruf der Abg . Marie-Luise Dött,CDU,NA,NA
Lothar Binding Heidelberg ),SPD,NA,NA
Dr. h. c. Hans Michelbach,CDU,NA,NA
Petra Hinz Essen ),SPD,NA,NA
Helmut Heiderich,CDU,NA,NA
