Name,DateOfBirth,DateOfDeath,Type
"Freud, Ernst L.",1892,1970,personal
"Heubner, Wolfgang",1877,1957,personal
"Hildebrandt, Hans",1878,1957,personal
"Graef, Botho",1857,1917,personal
"Gräf, Lili",1897,1975,personal
"Schöffler, Heinz",1921,1973,personal
"Lauritzen, Lauritz",1910,,personal
"Gropius, Ise",1897,1983,personal
"Mersmann, Hans",1891,1971,personal
"Leonhard, Kurt",1910,2005,personal
"Hodin, Josef Paul",1905,1996,personal
"Hönig, Eugen",1873,1945,personal
"Neske, Günther",1913,1997,personal
"Leppien, Susanne",1907,1982,personal
"Lerner, Max",1902,1992,personal
"Neundörfer, Ludwig",1901,1975,personal
"Niegeman, Johan",1902,1977,personal
"Meyer-Waldeck, Wera",1906,1964,personal
"Linde, Horst",1912,2016,personal
"Nierendorf, Karl",1889,1947,personal
"Noack, Werner",1888,1969,personal
"Schreiber, Fritz",1910,1967,personal
"Mittler, Leo",1893,1958,personal
"Moholy-Nagy, Sibyl",1903,1971,personal
"Schardt, Alois",1889,1955,personal
"Molzahn, Ilse",1895,1981,personal
"Moufang, Nicola",1886,1967,personal
"Osborn, Max",1870,1946,personal
"Burger, Fritz",1877,1916,personal
"Müller-Wulckow, Walter",1886,1964,personal
"Stanley, Ilse",11.03.1906,21.07.1970,personal
"Tokayer, José",1911,1972,personal
"Scheurleer, Lunsingh C... W...",1881,1941,personal
"Scheyer, Ernst",1900,1985,personal
"Scheper-Berkenkamp, Lou",1901,1976,personal
"Weidanz, Gustav",1889,1970,personal
"Weidhaas, Hermann",1903,1978,personal
"Stein, Fred",1909,1967,personal
"Weidler, Charlotte",1895,1983,personal
"Tavel, Hans Christoph von",1935,,personal
"Steinitz, Kate Traumann",1889,1975,personal
"Stölzel, Gunta",1897,1983,personal
"Stölzl, Erwin",1893,1947,personal
"Steneberg, Eberhard",1914,1996,personal
"Stenger, Erich",1878,1957,personal
"Weise, Robert",1870,1923,personal
"Ulich, Robert",1890,1977,personal
"Ludwig, Eduard",1906,1960,personal
"Schlee, Alfred",1901,1999,personal
"Ullstein, Heinz",1893,1973,personal
"Werner, Bruno E.",1896,1964,personal
"Thedy, Max",1858,1924,personal
"Schlemmer, Tut",1890,1987,personal
"Valentin, Curt",1902,1954,personal
"Ströher, Karl",1890,1977,personal
"Siepen, Bernhard",1885,1965,personal
"Sievers, Johannes",1880,1969,personal
"Tietze, Hans",1880,1954,personal
"Tinzmann, Julius",1907,1982,personal
"Wilhelm Ernst <Sachsen-Weimar-Eisenach, Großherzog>",1876,1923,personal
"Willett, John",1917,,personal
"Willing, Heinrich",1907,1985,personal
"Vietta, Egon",1903,1959,personal
"Tümpel, Wolfgang",1903,1978,personal
"Sörgel, Herman",1885,1952,personal
"Selmanagic, Selman",1905,1986,personal
"Spies, Daisy",1906,2000,personal
"Rath, Karl vom",1915,,personal
"Block, Otto",1901,1977,personal
"Esdaile, Arundell James Kennedy",1880,1956,personal
"Schmidt, Paul Ferdinand",1878,1955,personal
"Schmidt, Kurt",1901,1991,personal
"Ostwald, Helene",1854,,personal
"Peus, Heinrich",1862,1937,personal
"Porstmann, Walter",1886,1959,personal
"Hödl, Heinrich",1903,1987,personal
"Thwaites, John Anthony",1909,1981,personal
"Borelly, Wolfgang",1906,,personal
"Otto, Karl",1904,1975,personal
"Völckers, Otto",1888,1957,personal
"Diederichs, Niels",,1973,personal
"Behne, Elfriede",1883,1960,personal
"Behrendt, Walter Curt",1884,1945,personal
"Aalto, Alvar",1898,1976,personal
"Ackermann, Max",1887,1975,personal
"Aicher, Otl",1922,1991,personal
"Albers, Josef",1888,1976,personal
"Arendt, Hannah",1906,1975,personal
"Arp, Hans",1887,1966,personal
"Balden, Theo",1904,1995,personal
"Ball, Hugo",1886,1927,personal
"Bargheer, Eduard",1901,1979,personal
"Barlach, Ernst",1870,1938,personal
"Bartning, Otto",1883,1959,personal
"Batz, Eugen",1905,1986,personal
"Baumeister, Willi",1889,1955,personal
"Bayer, Herbert",1900,1985,personal
"Becher, Ulrich",1910,1990,personal
"Beckmann, Max",1884,1950,personal
"Behrens, Peter",1868,1940,personal
"Belling, Rudolf",1886,1972,personal
"Benemann, Maria",1887,1980,personal
"Benjamin, Walter",1892,1940,personal
"Benn, Gottfried",1886,1956,personal
"Bense, Max",1910,1990,personal
"Berg, Alban",1885,1935,personal
"Berke, Hubert",1908,1979,personal
"Berlage, Hendrik Petrus",1856,1934,personal
"Bernoulli, Hans",1876,1959,personal
"Bill, Max",1908,1994,personal
"Binder, Joseph",1898,1972,personal
"Bissier, Julius",1893,1965,personal
"Blase, Karl Oskar",1925,,personal
"Blossfeldt, Karl",1865,1932,personal
"Blumenfeld, Erwin",1897,1969,personal
"Böhm, Franz",1895,1977,personal
"Böker, Robert",1885,1980,personal
"Bonatz, Paul",1877,1956,personal
"Brandt, Willy",1913,1992,personal
"Breiter, Herbert",1927,1999,personal
"Breker, Arno",1900,1991,personal
"Brock, Bazon",1936,,personal
"Buchheim, Lothar-Günther",1918,2007,personal
"Buchheister, Carl",1890,1964,personal
"Buchholz, Erich",1891,1972,personal
"Calderara, Antonio",1903,1978,personal
"Campendonk, Heinrich",1889,1957,personal
"Chagall, Marc",1887,1985,personal
Christo,1935,,personal
"Citroen, Paul Roelof",1896,1983,personal
"Cizek, Franz",1865,1946,personal
"Coester, Otto",1902,1990,personal
"Crodel, Charles",1894,1973,personal
"Debus, Maximilian",1904,1981,personal
"Delaunay, Robert",1885,1941,personal
"Delaunay, Sonia",1885,1979,personal
"Dessau, Paul",1894,1979,personal
"Dix, Otto",1891,1969,personal
"Döcker, Richard",1894,1968,personal
"Doesburg, Theo van",1883,1931,personal
"Duchamp, Marcel",1887,1968,personal
"Dürckheim, Karlfried",1896,1988,personal
"Edison, Thomas A.",1847,1931,personal
"Einstein, Albert",1879,1955,personal
"Einstein, Carl",1885,1940,personal
"Eliot, Thomas S.",1888,1965,personal
"Engel, Ludwig",1906,1975,personal
"Ensor, James",1860,1949,personal
"Erfurth, Hugo",1874,1948,personal
"Erhard, Ludwig",1897,1977,personal
"Erni, Hans",1909,,personal
"Ernst, Max",1891,1976,personal
"Ey, Johanna",1864,1947,personal
"Fehling, Hermann",1909,,personal
"Feininger, Lyonel",1871,1956,personal
"Felixmüller, Conrad",1897,1977,personal
"Feuchtwanger, Lion",1884,1958,personal
"Fischli, Hans",1909,1989,personal
"Flitner, Wilhelm",1889,1990,personal
"Förster-Nietzsche, Elisabeth",1846,1935,personal
"Frank, Josef",1885,1967,personal
"Frei, Bruno",1897,1988,personal
"Freimann, Christoph",1940,,personal
"Freund, Gisèle",1908,2000,personal
"Freundlich, Otto",1878,1943,personal
"Fried, Kurt",1906,1981,personal
"Fruhtrunk, Günter",1923,1982,personal
